0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:10 +0700] "GET /LinhWine/san-pham/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:29 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39495
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:29 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:46:29 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:21 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39495
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:21 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:21 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:36 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:36 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:42 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:42 +0700] "GET /LinhWine/ HTTP/1.1" 200 147581
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:43 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:43 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:43 +0700] "GET /LinhWine/assets/user/img/remymartin2022-1.png HTTP/1.1" 200 266413
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:46 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39495
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:46 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:46 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:47 +0700] "GET /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39687
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:47 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:47 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:48 +0700] "GET /LinhWine/doi-thong-tin/images/2021/03/cropped-logo-ico-small-1-32x32.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:48 +0700] "GET /LinhWine/doi-thong-tin/images/2021/03/cropped-logo-ico-small-1-192x192.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:57 +0700] "POST /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39489
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:57 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:50:57 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:03 +0700] "GET /LinhWine/dang-xuat HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:03 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:08 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:08 +0700] "GET /LinhWine/ HTTP/1.1" 200 147520
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:08 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:08 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:12 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:12 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:12 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:14 +0700] "GET /LinhWine/doi-mat-khau HTTP/1.1" 200 39437
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:14 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:14 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:29 +0700] "POST /LinhWine/doi-mat-khau HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:29 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:54:29 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:39 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:39 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:44 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:44 +0700] "GET /LinhWine/dang-nhap HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:53 +0700] "POST /LinhWine/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:53 +0700] "GET /LinhWine/ HTTP/1.1" 200 146995
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:53 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:53 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:54 +0700] "GET /LinhWine/assets/user/img/chivas-12-nam-1116.jpg HTTP/1.1" 200 87597
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:54 +0700] "GET /LinhWine/assets/user/img/jw-red-label-icon-2022-1.png HTTP/1.1" 200 210555
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:56 +0700] "GET /LinhWine/thong-tin-tai-khoan HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:56 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:56 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:57 +0700] "GET /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39691
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:57 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:57:57 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:05 +0700] "POST /LinhWine/doi-thong-tin/9 HTTP/1.1" 200 39497
0:0:0:0:0:0:0:1 - - [20/May/2022:14:58:05 +0700] "GET /LinhWine/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 682
